id,channel,raw_text,language,label,source
gen-0108,SMS,WINNER Orange! Claim your 1 000 000 FCFA prize. Call 691XXXXXX now.!!,en,1,synthetic
gen-0150,SMS,MTN: rechargez 5000F et recevez 15Go. Composez *123#. Offre valable aujourd'hui.,fr,0,synthetic
gen-0120,URL,https://momo-verify.cm-secure.net/x9x39i,fr,1,synthetic
gen-0219,SMS,Orange Money: votre code de validation est 7146. Ne le partagez avec personne.,fr,0,synthetic
gen-0154,EMAIL,Votre facture d'eau CAMWATER du mois de novembre est disponible dans votre espace client. Montant: 24300 FCFA. Cordialement.,fr,0,synthetic
gen-0180,SMS,Your MTN MoMo transfer of 30 000 FCFA to 69XXXXXXX succeeded. Balance: 88 035 FCFA.,en,0,synthetic
gen-0101,URL,http://momo-bonus-cm.ml/verify,en,1,synthetic
gen-0207,EMAIL,"Bonjour, votre facture d'electricite ENEO (fevrier) est prete. Vous pouvez la regler en agence ou via Mobile Money. Merci.",fr,0,synthetic
gen-0147,EMAIL,"Bonjour, votre facture d'eau CAMWATER (decembre) est prete. Vous pouvez la regler en agence ou via Mobile Money. Merci.",fr,0,synthetic
gen-0042,SMS,"Cher client Orange Money, votre compte sera suspendu sous 24h. Confirmez votre code PIN ici: http://secure-banking-cm.ml",fr,1,synthetic
gen-0197,SMS,Votre transfert MTN MoMo de 15.000 FCFA vers 679XXXXXX a reussi. Solde: 81.017 FCFA.,fr,0,synthetic
gen-0165,EMAIL,Votre facture d'eau CAMWATER du mois de mai est disponible dans votre espace client. Montant: 24300 FCFA. Cordialement.,fr,0,synthetic
gen-0063,SMS,Transfert recu de 5000 FCFA via Orange Money. Confirmez ici: verify-account-cm.tk/verify,fr,1,synthetic
gen-0216,SMS,MTN: your 1GB internet bundle is active for 1 days. Thank you.,en,0,synthetic
gen-0082,SMS,Felicitations! Vous avez gagne 10000000 FCFA a la loterie MTN! Envoyez vos infos au 69XXXXXXX,fr,1,synthetic
gen-0210,SMS,Votre code OTP Orange Money est 6596. Valable 5 minutes. Ne le communiquez a personne.,fr,0,synthetic
gen-0107,SMS,Orange Money Securite: validez vtre code secret pour eviter la suspension: https://mtn-momo-securise.ml/login URGENT!!,fr,1,synthetic
gen-0176,EMAIL,BICEC: nous vous remercions pour votre fidelite. Aucune action n'est requise de votre part.,fr,0,synthetic
gen-0029,URL,https://ecobank-cm-login.tk/verify,en,1,synthetic
gen-0143,URL,https://www.ecobank.com/cm/personal-banking,en,0,synthetic
gen-0008,URL,http://orange-money-confirm.tk/k1eyy3,en,1,synthetic
gen-0134,SMS,Retrait MTN MoMo de 2 000 000 FCFA reussi. Solde: 2060430 FCFA. Merci de votre confiance.,fr,0,synthetic
gen-0151,SMS,MTN: il vous reste 5Go de data valables 30 jours. Bonne navigation.,fr,0,synthetic
gen-0103,SMS,Congratulations! You won 500000 FCFA in the Orange lottery. Send your details to 69XXXXXXX,en,1,synthetic
gen-0049,SMS,Service Orange Money: envoyez votre code PIN et le code 480831 pour debloquer votre compte.,fr,1,synthetic
gen-0228,EMAIL,"UBA: votre releve de compte mensuel est disponible dans votre espace client securise. Cordialement, le service clientele.",fr,0,synthetic
gen-0030,SMS,MTN MoMo Verification: donnez-nous vtre mot de passe et le code 9655 pour securiser vtre compte!,fr,1,synthetic
gen-0159,SMS,Orange: votre solde credit est de 47144 FCFA. Rechargez via *155#.,fr,0,synthetic
gen-0091,EMAIL,Important: your UBA card will be deactivated. Update your details: https://ecobank-cm-login.tk/login,en,1,synthetic
gen-0169,SMS,MTN MoMo: paiement de 2000000 FCFA effectue. Nouveau solde: 2.026.997 FCFA. Frais: 0 FCFA.,fr,0,synthetic
gen-0124,SMS,Votre transfert MTN MoMo de 25000 FCFA vers 693XXXXXX a reussi. Solde: 47.081 FCFA.,fr,0,synthetic
gen-0129,EMAIL,"Bonjour, votre facture d'eau CAMWATER (aout) est prete. Vous pouvez la regler en agence ou via Mobile Money. Merci.",fr,0,synthetic
gen-0021,EMAIL,SGBC - Service en ligne: une connexion inhabituelle a ete detectee. Reactivez votre acces: bit.ly/8n6qiw,fr,1,synthetic
gen-0048,EMAIL,Important: votre carte SGBC sera desactivee. Mettez a jour vos informations: cutt.ly/b5ul5n,fr,1,synthetic
gen-0062,URL,http://is.gd/hj5s6r,en,1,synthetic
gen-0190,SMS,Nexttel: rechargez 1000F et recevez 5Go. Composez *123#. Offre valable aujourd'hui.,fr,0,synthetic
gen-0178,SMS,Orange Money: votre code de validation est 243106. Ne le partagez avec personne.,fr,0,synthetic
gen-0162,EMAIL,"Ecobank: your monthly statement is available in your secure customer area. Best regards, customer service.",en,0,synthetic
gen-0053,SMS,MTN MoMo Securite: validez votre code secret pour eviter la suspension: is!gd/42vldq Repondez vite!!,fr,1,synthetic
gen-0112,SMS,"Dear MTN MoMo customer, your account will be suspended! Confirm your PIN here: cutt!ly/t6z84q!!",en,1,synthetic
gen-0198,SMS,MTN MoMo: votre code de validation est 401489. Ne le partagez avec personne.,fr,0,synthetic
gen-0040,EMAIL,Mise a jour requise de votre profil pour eviter la suspension: afriland-secure-login.com/confirm,fr,1,synthetic
gen-0044,SMS,Orange Money: un envoi de 20 000 FCFA est en attente! Validez sous 1h: bit!ly/ktgbty,fr,1,synthetic
gen-0138,EMAIL,"Afriland First Bank: your monthly statement is available in your secure customer area. Best regards, customer service.",en,0,synthetic
gen-0072,URL,http://bicec-online.cm-secure.net,en,1,synthetic
gen-0006,SMS,"MTN MoMo: to complete the transaction, share the code 0564 with our agent!",en,1,synthetic
gen-0057,SMS,MTN MoMo: un envoi de 75000 FCFA est en attente. Validez sous 1h: http://mtn-momo-securise.ml/confirm,fr,1,synthetic
gen-0116,SMS,Felicitations! Vous avez gagne 2 000 000 FCFA a la loterie MTN. Envoyez vos infos au 656XXXXXX,fr,1,synthetic
gen-0126,EMAIL,"CCA Bank: your monthly statement is available in your secure customer area. Best regards, customer service.",en,0,synthetic
gen-0142,SMS,Nexttel: votre solde credit est de 44208 FCFA. Rechargez via *155#.,fr,0,synthetic
gen-0214,SMS,Retrait MTN MoMo de 50.000 FCFA reussi. Solde: 74083 FCFA. Merci de votre confiance.,fr,0,synthetic
gen-0221,SMS,Orange Money: paiement de 7 500 FCFA effectue. Nouveau solde: 23084 FCFA. Frais: 0 FCFA.,fr,0,synthetic
