id,channel,raw_text,language,label,source
uci-00001,SMS,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",en,0,uci_sms_spam
uci-00002,SMS,Ok lar... Joking wif u oni...,en,0,uci_sms_spam
uci-00003,SMS,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,en,1,uci_sms_spam
uci-00004,SMS,U dun say so early hor... U c already then say...,en,0,uci_sms_spam
uci-00005,SMS,"Nah I don't think he goes to usf, he lives around here though",en,0,uci_sms_spam
uci-00006,SMS,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",en,1,uci_sms_spam
uci-00007,SMS,Even my brother is not like to speak with me. They treat me like aids patent.,en,0,uci_sms_spam
uci-00008,SMS,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,en,0,uci_sms_spam
uci-00009,SMS,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,en,1,uci_sms_spam
uci-00010,SMS,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,en,1,uci_sms_spam
uci-00011,SMS,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",en,0,uci_sms_spam
uci-00012,SMS,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",en,1,uci_sms_spam
uci-00013,SMS,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",en,1,uci_sms_spam
uci-00014,SMS,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,en,0,uci_sms_spam
uci-00015,SMS,I HAVE A DATE ON SUNDAY WITH WILL!!,en,0,uci_sms_spam
uci-00016,SMS,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",en,1,uci_sms_spam
uci-00017,SMS,Oh k...i'm watching here:),en,0,uci_sms_spam
uci-00018,SMS,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,en,0,uci_sms_spam
uci-00019,SMS,Fine if thats the way u feel. Thats the way its gota b,en,0,uci_sms_spam
uci-00020,SMS,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",en,1,uci_sms_spam
uci-00021,SMS,Is that seriously how you spell his name?,en,0,uci_sms_spam
uci-00022,SMS,I‘m going to try for 2 months ha ha only joking,en,0,uci_sms_spam
uci-00023,SMS,So ü pay first lar... Then when is da stock comin...,en,0,uci_sms_spam
uci-00024,SMS,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,en,0,uci_sms_spam
uci-00025,SMS,Ffffffffff. Alright no way I can meet up with you sooner?,en,0,uci_sms_spam
uci-00026,SMS,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,en,0,uci_sms_spam
uci-00027,SMS,Lol your always so convincing.,en,0,uci_sms_spam
uci-00028,SMS,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,en,0,uci_sms_spam
uci-00029,SMS,"I'm back &amp; we're packing the car now, I'll let you know if there's room",en,0,uci_sms_spam
uci-00030,SMS,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,en,0,uci_sms_spam
uci-00031,SMS,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",en,0,uci_sms_spam
uci-00032,SMS,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,en,0,uci_sms_spam
uci-00033,SMS,K tell me anything about you.,en,0,uci_sms_spam
uci-00034,SMS,For fear of fainting with the of all that housework you just did? Quick have a cuppa,en,0,uci_sms_spam
uci-00035,SMS,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,en,1,uci_sms_spam
uci-00036,SMS,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,en,0,uci_sms_spam
uci-00037,SMS,"Oops, I'll let you know when my roommate's done",en,0,uci_sms_spam
uci-00038,SMS,I see the letter B on my car,en,0,uci_sms_spam
uci-00039,SMS,Anything lor... U decide...,en,0,uci_sms_spam
uci-00040,SMS,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,en,0,uci_sms_spam
uci-00041,SMS,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,en,0,uci_sms_spam
uci-00042,SMS,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",en,0,uci_sms_spam
uci-00043,SMS,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,en,1,uci_sms_spam
uci-00044,SMS,WHO ARE YOU SEEING?,en,0,uci_sms_spam
uci-00045,SMS,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,en,0,uci_sms_spam
uci-00046,SMS,No calls..messages..missed calls,en,0,uci_sms_spam
uci-00047,SMS,Didn't you get hep b immunisation in nigeria.,en,0,uci_sms_spam
uci-00048,SMS,"Fair enough, anything going on?",en,0,uci_sms_spam
uci-00049,SMS,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",en,0,uci_sms_spam
uci-00050,SMS,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,en,0,uci_sms_spam
uci-00051,SMS,What you thinked about me. First time you saw me in class.,en,0,uci_sms_spam
uci-00052,SMS,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",en,0,uci_sms_spam
uci-00053,SMS,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,en,0,uci_sms_spam
uci-00054,SMS,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",en,0,uci_sms_spam
uci-00055,SMS,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,en,1,uci_sms_spam
uci-00056,SMS,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,en,0,uci_sms_spam
uci-00057,SMS,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",en,1,uci_sms_spam
uci-00058,SMS,"Sorry, I'll call later in meeting.",en,0,uci_sms_spam
uci-00059,SMS,Tell where you reached,en,0,uci_sms_spam
uci-00060,SMS,Yes..gauti and sehwag out of odi series.,en,0,uci_sms_spam
uci-00061,SMS,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,en,0,uci_sms_spam
uci-00062,SMS,Ha ha ha good joke. Girls are situation seekers.,en,0,uci_sms_spam
uci-00063,SMS,Its a part of checking IQ,en,0,uci_sms_spam
uci-00064,SMS,"Sorry my roommates took forever, it ok if I come by now?",en,0,uci_sms_spam
uci-00065,SMS,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,en,0,uci_sms_spam
uci-00066,SMS,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",en,1,uci_sms_spam
uci-00067,SMS,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",en,0,uci_sms_spam
uci-00068,SMS,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",en,1,uci_sms_spam
uci-00069,SMS,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",en,1,uci_sms_spam
uci-00070,SMS,I plane to give on this month end.,en,0,uci_sms_spam
uci-00071,SMS,Wah lucky man... Then can save money... Hee...,en,0,uci_sms_spam
uci-00072,SMS,Finished class where are you.,en,0,uci_sms_spam
uci-00073,SMS,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,en,0,uci_sms_spam
uci-00074,SMS,K..k:)where are you?how did you performed?,en,0,uci_sms_spam
uci-00075,SMS,U can call me now...,en,0,uci_sms_spam
uci-00076,SMS,I am waiting machan. Call me once you free.,en,0,uci_sms_spam
uci-00077,SMS,Thats cool. i am a gentleman and will treat you with dignity and respect.,en,0,uci_sms_spam
uci-00078,SMS,I like you peoples very much:) but am very shy pa.,en,0,uci_sms_spam
uci-00079,SMS,Does not operate after  &lt;#&gt;  or what,en,0,uci_sms_spam
uci-00080,SMS,Its not the same here. Still looking for a job. How much do Ta's earn there.,en,0,uci_sms_spam
uci-00081,SMS,"Sorry, I'll call later",en,0,uci_sms_spam
uci-00082,SMS,K. Did you call me just now ah?,en,0,uci_sms_spam
uci-00083,SMS,Ok i am on the way to home hi hi,en,0,uci_sms_spam
uci-00084,SMS,You will be in the place of that man,en,0,uci_sms_spam
uci-00085,SMS,Yup next stop.,en,0,uci_sms_spam
uci-00086,SMS,"I call you later, don't have network. If urgnt, sms me.",en,0,uci_sms_spam
uci-00087,SMS,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,en,0,uci_sms_spam
uci-00088,SMS,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,en,0,uci_sms_spam
uci-00089,SMS,I'm really not up to it still tonight babe,en,0,uci_sms_spam
uci-00090,SMS,"Ela kano.,il download, come wen ur free..",en,0,uci_sms_spam
uci-00091,SMS,Yeah do! Don‘t stand to close tho- you‘ll catch something!,en,0,uci_sms_spam
uci-00092,SMS,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,en,0,uci_sms_spam
