id,channel,raw_text,language,label,source
train-00001,SMS,I had askd u a question some hours before. Its answer,en,0,uci_sms_spam
train-00002,SMS,Men like shorter ladies. Gaze up into his eyes.,en,0,uci_sms_spam
train-00003,SMS,Orange Money: vous avez recu 5000000 FCFA de 68XXXXXXX. Solde disponible: 5 023 201 FCFA.,fr,0,synthetic
train-00004,SMS,what is your account number?,en,0,uci_sms_spam
train-00005,EMAIL,Your ENEO bill for avril is available in your customer area. Amount: 3500 FCFA.,en,0,synthetic
train-00006,SMS,Welp apparently he retired,en,0,uci_sms_spam
train-00007,SMS,MTN MoMo: your verification code is 590599. Do not share it.,en,0,synthetic
train-00008,SMS,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn",en,0,uci_sms_spam
train-00009,SMS,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",en,0,uci_sms_spam
train-00010,SMS,Umma. Did she say anything,en,0,uci_sms_spam
train-00011,SMS,Yup having my lunch buffet now.. U eat already?,en,0,uci_sms_spam
train-00012,SMS,No prob. I will send to your email.,en,0,uci_sms_spam
train-00013,SMS,Even my brother is not like to speak with me. They treat me like aids patent.,en,0,uci_sms_spam
train-00014,SMS,When did you get to the library,en,0,uci_sms_spam
train-00015,SMS,I sent you  &lt;#&gt;  bucks,en,0,uci_sms_spam
train-00016,SMS,Orange: votre forfait internet de 5Go est active pour 7 jours. Merci.,fr,0,synthetic
train-00017,SMS,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,en,0,uci_sms_spam
train-00018,SMS,Are you free now?can i call now?,en,0,uci_sms_spam
train-00019,SMS,Yes:)here tv is always available in work place..,en,0,uci_sms_spam
train-00020,SMS,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,en,0,uci_sms_spam
train-00021,SMS,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,en,0,uci_sms_spam
train-00022,SMS,Hmm .. Bits and pieces lol ... *sighs* ...,en,0,uci_sms_spam
train-00023,SMS,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468",en,1,uci_sms_spam
train-00024,SMS,I'm home.,en,0,uci_sms_spam
train-00025,SMS,MTN MoMo: vous avez recu 5.000 FCFA de 63XXXXXXX. Solde disponible: 58 376 FCFA.,fr,0,synthetic
train-00026,SMS,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",en,0,uci_sms_spam
train-00027,SMS,Orange Money: votre code de validation est 972798. Ne le partagez avec personne.,fr,0,synthetic
train-00028,SMS,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,en,0,uci_sms_spam
train-00029,SMS,What is the plural of the noun research?,en,0,uci_sms_spam
train-00030,SMS,Retrait Orange Money de 1.000.000 FCFA reussi. Solde: 1.077.796 FCFA. Merci de votre confiance.,fr,0,synthetic
train-00031,SMS,I wont get concentration dear you know you are my mind and everything :-),en,0,uci_sms_spam
train-00032,SMS,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,en,0,uci_sms_spam
train-00033,SMS,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,en,0,uci_sms_spam
train-00034,SMS,Great escape. I fancy the bridge but needs her lager. See you tomo,en,0,uci_sms_spam
train-00035,SMS,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870.",en,1,uci_sms_spam
train-00036,SMS,Where @,en,0,uci_sms_spam
train-00037,SMS,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",en,0,uci_sms_spam
train-00038,SMS,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,en,0,uci_sms_spam
train-00039,SMS,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,en,0,uci_sms_spam
train-00040,SMS,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,en,1,uci_sms_spam
train-00041,SMS,When can ü come out?,en,0,uci_sms_spam
train-00042,SMS,Was the farm open?,en,0,uci_sms_spam
train-00043,SMS,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore,en,0,uci_sms_spam
train-00044,SMS,Realy sorry-i don't recognise this number and am now confused :) who r u please?!,en,0,uci_sms_spam
train-00045,SMS,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,en,0,uci_sms_spam
train-00046,SMS,Can you open the door?,en,0,uci_sms_spam
train-00047,SMS,Lol your always so convincing.,en,0,uci_sms_spam
train-00048,SMS,08714712388 between 10am-7pm Cost 10p,en,1,uci_sms_spam
train-00049,SMS,"Haha good to hear, I'm officially paid and on the market for an 8th",en,0,uci_sms_spam
train-00050,SMS,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,en,1,uci_sms_spam
train-00051,SMS,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks",en,0,uci_sms_spam
train-00052,EMAIL,Your CAMWATER bill for fevrier is available in your customer area. Amount: 5200 FCFA.,en,0,synthetic
train-00053,SMS,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",en,0,uci_sms_spam
train-00054,URL,http://t.co/5pr2es,en,1,synthetic
train-00055,URL,http://momo-bonus-cm.ml/login,en,1,synthetic
train-00056,SMS,my ex-wife was not able to have kids. Do you want kids one day?,en,0,uci_sms_spam
train-00057,SMS,MTN MoMo Verification: donnez-nous votre mot de passe et le code 51830 pour securiser votre compte. URGENT,fr,1,synthetic
train-00058,SMS,You should change your fb to jaykwon thuglyfe falconerf,en,0,uci_sms_spam
train-00059,SMS,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",en,0,uci_sms_spam
train-00060,SMS,Hmmm...k...but i want to change the field quickly da:-)i wanna get system administrator or network administrator..,en,0,uci_sms_spam
